"district.region.code","district.region.name","ward.code","ward.name","village","market.name"
61,"katavi",610106,"majimoto","kitupa","majimoto"
61,"katavi",610113,"sibwesa","minyagala","sibwesa"
61,"katavi",610113,"sibwesa","sibwesa","sibwesa"
62,"simiyu",620117,"dutwa","igaganulwa","dutwa"
63,"mbeya",630111,"madibila","mkonywa","004"
64,"mtwara",640104,"chanikanguo","chanikanguo","chanikanguo"
64,"mtwara",640111,"mbuyuni","mbuyuni","mbuyuni"
64,"mtwara",640122,"ndomoni","mbaju","ndomoni"
68,"mwanza",680101,"ngudu","kakola","ngudu"
