"","6.buy.placetype.other"
"1",NA
"2","Nanunua kwaajili ya kuchinja hapa mnadani"
"3","Napeleka mnada mwingine unaofuataa"
"4","Machinjioni"
"5","Napeleka minada mwingine"
"6","Nitasafirisha ambao nitakuwa sijauza"
"7","Machinjioni Igoma"
"8","Nauza kwa wanaochinja"
"9","Nyumbani na minadani"
"10","Wilaya jirani"
"11","Vijiwe vya kuchinjia"
"12","Kuchinja"
"13","Machinjioni kibaha"
"14","Kondoo nitampeleka kijijini ila mbuzi nitauza mnada hapa"
"15","Anasafirisha kwenda mkoa wa  Pwani na Dar es salaam"
"16","Anawauza hapo hapo mnadani"
"17","Wilaya ya Mufindi"
"18","Napokea mifugo naiuza hapahapa mnadani"
"19","Nikishindwa kuuza nawarudisha nyumbani"
"20","Inategemea  nikishindwa  kuuza nawarudisha  nyumbani"
"21","Atasafirisha kwenda Mlowo Mbozi"
"22","Nawaacha kwa ndugu yangu mnadani"
