"","1.mrkt.activity.other"
"1",NA
"2","Nanunua naenda kuchinja naweka buchani"
"3","Kununua mbuzi/kondoo kwa ajili ya kuchinja hapa mnadani"
"4","Ananunua mbuzi na  kuchinja"
"5","Nanunua mifugo ya kuchinja hapa mnadani"
"6","Nanunua na kuchinja"
"7","Kuchinja"
"8","Kwa ajili ya kutoa mahali"
"9","Kwa ajili ya sherehe za kidini"
"10","Kununua na kuchinja"
"11","Nanunua nachinja na kuuza nyama mnadani"
"12","Kutembelea na kuona soko la mbuzi na kondoo"
"13","Kufuga"
"14","Kununua na kubadilishana"
"15","Kwaajili ya kuchinja( nyama)"
"16","Kununua kwa ajili ya kuchinja"
"17","Mchinjaji"
"18","Kununua mifugo na kuchinja kuuza nyama choma"
"19","Amenunua kwa ajili ya mboga ya sherehe ya harusi"
"20","Ananunua kwa ajili ya kuchinja"
"21","Nyanachoma"
"22","Kununua mbuzi kwa ajili ya mgahawa"
"23","Mfugaji"
"24","Nachinja mnadani"
"25","Ananunua mifugo kwa ajili ya kuchinja na kuuza supu"
"26","Nanunua na kuchinja hapa mnadani"
"27","Muuza supu"
"28","Kuchinja na kuuza supu"
"29","Kununua mbuzi"
"30","Ananunua mbuzi kwa ajili ya kuchinja na kuuza supu kwenye mgahawa wake"
"31","Muuza supu na nyama choma"
"32","Ananunua pia kwaajili ya kufuga"
"33","Kuangalia bei za mifugo"
"34","Kuswaga mifugo"
"35","Kuangalia bei"
"36","Anabucha la mbuzi"
"37","Kuchinja  na kuuza  kwa watu wa hoteli"
"38","Kununua kondoo kwa ajili ya kuchinja msibani"
"39","Mifugo ya kuchinja"
"40","Nanunua mifugo kwaajili ya kuchinja  na kuchoma nyama mnadani"
"41","Kununua mbuzi na kondoo kwa ajili ya kwenda kuuza mnada mwingine"
"42","Ananunua mbuzi na kondoo anawauza tena mnadani ikitokea amempenda Mnyama anaenda kumfuga."
"43","Kuuza nyama choma"
"44","Kwenda kufuga"
"45","Nanunua mbuzi wa kwenda kuchinja"
"46","Nanunua na kwenda kuchinja"
"47","Ananunua mifugo na kuchinja mnadani kuuza nyama choma"
"48","Kwa ajili ya kuchinja"
"49","Anapeleka kuchinja kwaajili ya kitoweo mgahawani kwake"
"50","Kuuza supu"
"51","Kuchinja na kuuza nyama choma"
"52","Nanunua na kuchinja  nauza nyama mnadani"
"53","Kwa ajili ya tambiko"
"54","Mfanya biashara wa nyama"
"55","Kununua mbuzi na kondoo kwa ajili ya biashara"
"56","Anauza mifugo aliyonunua wafugaji na kisha kuwauza kwa wafanyabiashara"
"57","Anachinja na kuuza nyama"
"58","Anafanya biashara ya kuchinja mbuzi na kondoo"
"59","Ananunua mbuzi kwa ajili ya shughuli za kijamii."
"60","Ananunua mbuzi"
"61","Mswagaji baada ya mtu kununua yeye anaswaga mbuzi au kondoo"
"62","Kununua mbuzi na kondoo"
"63","Mnunuzi wa mbuzi na kondoo"
"64","Nanunua mifugo ya biashara"
"65","Ananunua mbuzi kwaajili ya kupika supu ya nyama ya mbuzi na nyama ya kukaanga"
"66","Kununua na kuchinja mbuzi na kondoo"
"67","Kwa ajili ya kuchinja mnadani hapa"
"68","Kununua na kuchinja kwa ajili ya biashara ya kuuza chakula maarufu kama mama lishe"
"69","Kununua mbuzi na kondoo kwa ajili ya kuchinja na kuuza supu (mama lishe)"
"70","Ananunua mifugo kwa ajili ya biashara"
"71","Ananunua mbuzi kwaajili ya  kupika supu na mboga ya nyama kwa ajili chakula"
"72","Mama ntilie, ananunua mbuzi kwaajili ya kupika mboga kwaajili ya chakula."
"73","Kununua kwa ajili ya kuchinja kuuza nyama choma na supu mgahawani"
"74","Kwa ajili ya kufuga"
"75","Kuuza nyama choma na supu"
"76","Kununua mbuzi kwa ajili ya biashara"
"77","Ananunua mifugo"
"78","Ananunua mbuzi na kondoo."
"79","Kuswaga mifugo baada ya kununuliwa na kupeleka aendako mnunuzi"
"80","Kuchinja mifugo buchani"
